Sentence,Party,Sentiment,Overall Sentiment
that there was an arrangement between Kress and the police.,"[[],[Kress,police]]","[[],[0,0]]",0
"Petitioner, in opposing summary judgment, pointed out that respondent had failed in its moving papers to dispute the allegation in petitioner complaint, a statement at her deposition, and an unsworn statement by a Kress employer, all to the effect that there was a policeman in the store at the time of the refusal to serve her, and that this was the policeman who subsequently [398 U.S. 144, 157] arrested her.","[[petitioner,her_1,her_2,her_3],[respondent,kress]]","[[1,1,1,1],[-1,-1]]",1
"Petitioner, in opposing summary judgment, pointed out","[[petitioner],[]]","[[1],[]]",1
"respondent had failed in its moving papers to dispute the allegation in petitioner complaint, a statement at her deposition,  and an unsworn statement by a Kress employer,  all to the effect","[[petitioner,her_1],[respondent,kress]]","[[1,1],[-1,-1]]",1
"there was a policeman in the store at the time of the refusal to serve her, and that this was the policeman who subsequently [398 U.S. 144, 157] arrested her.","[[her_1,her_2],[]]","[[-1,-1],[]]",-1
"Petitioner argued that although she had no knowledge of an agreement between Kress and the police, the sequence of events created a substantial enough possibility of a conspiracy to allow her to proceed to trial, especially given the fact that the non-circumstantial evidence of the conspiracy could only come from adverse witnesses.","[[petitioner,she,her],[Kress,police]]","[[1,1,1],[-1,-1]]",1
she had no knowledge of an agreement between Kress and the police,"[[she],[Kress,police]]","[[-1],[1,1]]",-1
"Respondent here did not carry its burden because of its failure to foreclose the possibility that there was a policeman in the Kress store while petitioner was awaiting service, and that this policeman reached an understanding with some Kress employer that petitioner not be served.","[[petitioner],[respondent,kress]]","[[-1],[1,1]]",-1
Respondent here did not carry its burden,"[[],[respondent]]","[[],[-1]]",-1
petitioner was awaiting service,"[[petitioner],[]]","[[0],[]]",0
this policeman reached an understanding with some Kress employer,"[[],[Kress]]","[[],[1]]",1
petitioner not be served.,"[[petitioner],[]]","[[0],[]]",0
"The first count of petitioner complaint alleges that Kress refusal to serve petitioner ""deprived [her] of the privilege of equal enjoyment of a place of public accommodation by reason of her association with Negroes and [she] was thereby discriminated against because of race in violation of the Constitution of the United States and of Title 42 United States Code, Section 1983.""","[[petitioner,she,her_1,her_2],[Kress,police]]","[[1,1,1,1],[-1,-1]]",1
The first count of petitioner complaint alleges,"[[petitioner],[]]","[[1],[]]",-1
" Kress refusal to serve petitioner ""deprived [her] of the privilege of equal enjoyment of a place of public accommodation by reason of her association with Negroes and [she] was thereby discriminated against because of race in violation of the Constitution of the United States and of Title 42 United States Code, Section 1983.""","[[petitioner,she,her_1,her_2],[Kress,police]]","[[1,1,1,1],[-1,-1]]",1
"The conspiracy count alleges, inter alia, that Kress and the Hattiesburg police ""conspired together to deprive plaintiff of her right to enjoy equal treatment and service in a place of public accommodation.""","[[her],[Kress,police]]","[[1],[-1,-1]]",1
"Kress and the Hattiesburg police ""conspired together to deprive plaintiff of her right to enjoy equal treatment and service in a place of public accommodation.""","[[her],[Kress,police]]","[[1],[-1,-1]]",-1
"It is clear, and respondent seemingly concedes, that its refusal to serve petitioner was a violation of 201 of the 1964 Act.","[[petitioner],[respondent]]","[[1],[-1]]",1
respondent seemingly concedes,"[[],[respondent]]","[[],[0]]",0
its refusal to serve petitioner was a violation of 201 of the 1964 Act.,"[[petitioner],[]]","[[1],[]]",-1
"It is very doubtful, however, that Kress violation of Miss Adickes rights under the Public Accommodations Title could properly serve as a basis for recovery under 1983.","[[Adickes],[Kress]]","[[-1],[1]]",-1
Kress violation of Miss Adickes rights under the Public Accommodations Title could properly serve as a basis for recovery under 1983.,"[[Adickes],[Kress]]","[[1],[-1]]",-1
Petitioner after robbing a hotel fatally wounded a policeman and himself received two bullet wounds.,"[[petitioner],[]]","[[-1],[]]",-1
"Some time later, after considerable loss of blood and soon after he had been given drugs, he was interrogated and admitted firing the first shot at the policeman.","[[he_1,he_2],[]]","[[-1,-1],[]]",-1
he had been given drugs,"[[he],[]]","[[1],[]]",1
he was interrogated and admitted firing the first shot at the policeman.,"[[he],[]]","[[-1],[]]",-1
"Petitioner was indicted for murder and both statements were admitted at the trial, at which petitioner testimony differed in some important respects from the confessions.","[[petitioner],[]]","[[-1],[]]",-1
Petitioner was indicted for murder,"[[petitioner],[]]","[[-1],[]]",-1
at which petitioner testimony differed in some important respects from the confessions.,"[[petitioner],[]]","[[-1],[]]",-1
"The jury found petitioner guilty of first degree murder, the New York Court of Appeals affirmed and this Court denied certiorari.","[[petitioner],[]]","[[-1],[]]",-1
"petitioner guilty of first degree murder, the New York Court of Appeals affirmed and this Court denied certiorari.","[[petitioner],[]]","[[-1],[]]",-1
Petitioner filed a petition for a writ of habeas corpus asserting that the New York procedure for determining voluntariness of a confession was unconstitutional and that his confession was involuntary.,"[[petitioner,his],[]]","[[1,1],[]]",1
Petitioner filed a petition for a writ of habeas corpus asserting,"[[petitioner],[]]","[[1],[]]",1
his confession was involuntary.,"[[his],[]]","[[-1],[]]",-1
"Petitioner, Jackson, has filed a petition for habeas corpus in the Federal District Court asserting that his conviction for murder in the New York courts is invalid because it was founded upon a confession not properly [378 U.S. 368, 370] determined to be voluntary.","[[petitioner,his],[]]","[[1,1],[]]",1
"Petitioner, Jackson, has filed a petition for habeas corpus in the Federal District Court asserting   ","[[petitioner],[]]","[[1],[]]",1
his conviction for murder in the New York courts is invalid,"[[his],[]]","[[1],[]]",1
policeman was fatally wounded and petitioner was shot twice in the body.,"[[petitioner],[]]","[[-1],[]]",-1
petitioner was shot twice in the body.,"[[petitioner],[]]","[[-1],[]]",-1
"A detective questioned Jackson at about 2 a. m., soon after his arrival at the hospital","[[Jackson,his],[]]","[[-1,-1],[]]",-1
He also admitted the robbery at the hotel.,"[[he],[]]","[[-1],[]]",-1
Jackson was given 50 milligrams of demerol and 1/50 of a grain of scopolamine at 3:55 a. m.,"[[Jackson],[]]","[[-1],[]]",-1
"Immediately thereafter an Assistant District Attorney, in the presence of police officers and hospital personnel, questioned Jackson, the interrogation being recorded by a stenographer.","[[Jackson],[]]","[[-1],[]]",-1
"Jackson, who has been shot in the liver and lung, had by this time lost about 500 cc. of blood.","[[Jackson],[]]","[[-1],[]]",-1
"Jackson again admitted the robbery in the hotel, and then said, ""Look, I can't go on.""","[[Jackson],[]]","[[-1],[]]",-1
But in response to further questions he admitted shooting the policeman and having fired the first shot.,"[[he],[]]","[[-1],[]]",-1
he admitted shooting the policeman and having fired the first shot.,"[[he],[]]","[[-1],[]]",-1
Jackson and Miss Elliottt were indicted for murder in the first degree and were tried together.,"[[Jackson, Elliott],[]]","[[-1,-1],[]]",-1
"The statements made by Jackson, both at 2 and 3:55 a. m., were introduced in evidence without objection by Jackson counsel","[[Jackson,counsel],[]]","[[-1,-1],[]]",-1
His account of the robbery and of the shooting of the policeman differed in some important respects from his confession.,"[[his_1,his_2],[]]","[[-1,-1],[]]",-1
"According to Jackson testimony, there was a substantial interval of time between his leaving the hotel and the shooting, and the policeman attempted to draw his gun first and fired the first shot.","[[Jackson,his_1,his_2],[]]","[[1,1,1],[]]",1
"To counter Jackson suggestion that he had been pressured into answering questions, the State offered the testimony of the attending physician and of several other persons.","[[Jackson,he],[state]]","[[-1,-1],[1]]",-1
To counter Jackson suggestion that he had been pressured into answering questions,"[[Jackson,he],[]]","[[-1,-1],[]]",-1
he had been pressured into answering questions,"[[he],[]]","[[-1],[]]",-1
"Although Jackson counsel did not specifically object to the admission of the confession initially, the trial court indicated its awareness that Jackson counsel was questioning the circumstances under which Jackson was interrogated","[[Jackson,counsel],[]]","[[1,1],[]]",1
Jackson counsel did not specifically object to the admission of the confession initially,"[[Jackson, counsel],[]]","[[0,0],[]]",0
Jackson counsel was questioning the circumstances under,"[[Jackson, counsel],[]]","[[0,0],[]]",0
Jackson was interrogated,"[[Jackson],[]]","[[0],[]]",0
Counsel main effort was to negative the premeditation and intent necessary to first-degree murder and to separate the robbery felony from the killing,"[[counsel],[]]","[[1],[]]",1
"The jury found Jackson guilty of murder in the first degree, Miss Elliottt of manslaughter in the first degree.","[[Jackson, Elliott],[]]","[[-1,-1],[]]",-1
"Jackson was sentenced to death, Miss Elliottt to a prison [378 U.S. 368, 376] term.","[[Jackson, Elliott],[]]","[[-1,-1],[]]",-1
Jackson was sentenced to death,"[[Jackson],[]]","[[-1],[]]",-1
"Miss Elliottt to a prison [378 U.S. 368, 376] term","[[ Elliott],[]]","[[-1],[]]",-1
"Jackson conviction was affirmed by the New York Court of Appeals, 10 N. Y. 2d 780, 177 N. E. 2d 59, its remittitur being amended to show that it had necessarily passed upon the voluntariness of the confession and had found that Jackson constitutional rights had not been violated.","[[Jackson],[]]","[[-1],[]]",-1
